humanidad
seis
siete
ocho
nueve
diez
cien
mil
millón
Espacio y cantidad
lugar
posición
movimiento
velocidad
aceleración
dirección
tamaño
largo
alto
ancho
mayoría
minoría
aumento
reducción
crecimiento
fondo
frente
Sustantivos abstractos
cosa
aspecto
contenido
objeto
parte
sector
palabra
nombre
código
secreto
formalidad
presente
pasado
futuro
ocasión
vez
acción
actividad
acto
programa
proyecto
obra
acuerdo
actitud
atención
capacidad
concepto
tema
condición
caso
conjunto
grupo
creación
destrucción
origen
destino
objetivo
función
relación
realidad
situación
problema
intento
solución
efecto
resultado
logro
éxito
fracaso
causa
consecuencia
beneficio
perjuicio
calidad
tipo
ataque
defensa
paz
conflicto
guerra
carácter
característica
crisis
cambio
desarrollo
progreso
avance
retroceso
mejora
deterioro
comienzo
transcurso
fin
etapa
fase
paso
serie
secuencia
grado
nivel
proceso
corte
interrupción
espera
diferencia
similitud
sentido
sensación
vista
oído
tacto
olfato
dolor
conciencia
percepción
imagen
fuerza
potencia
presencia
existencia
experiencia
posibilidad
probabilidad
verdad
mentira
razón
acierto
equivocación
necesidad
falta
significado
carácter
personalidad
pensamiento
memoria
recuerdo
deseo
alegría
tristeza
enojo
placer
empatía
interés
aburrimiento
cansancio
sorpresa
susto
seguridad
confianza
miedo
ejemplo
Adjetivos
Adjetivos de calidad
bueno
malo
superior
inferior
central
lateral
frontal
trasero
cierto
real
falso
mayor
menor
importante
necesario
absoluto
relativo
caro
barato
viejo
joven
nuevo
cada
cualquier
dado
actual
reciente
capaz
fácil
difícil
posible
imposible
probable
improbable
estricto
serio
general
particular
común
especial
usual
único
raro
fuerte
débil
correcto
incorrecto
contrario
igual
diferente
parecido
otro
diverso
manual
automático
universal
mundial
continental
internacional
nacional
regional
local
urbano
rural
social
político
cultural
artístico
propio
ajeno
público
privado
Adjetivos de forma
alto
bajo
gran
grande
pequeño
amplio
angosto
compacto
delgado
grueso
Adjetivos sensoriales
caliente
frío
ligero
pesado
suave
firme
flexible
duro
blando
caluroso
frío
fresco
delicioso
horrible
dulce
picante
salado
amargo
anterior
posterior
siguiente
cercano
lejano
junto
unido
separado
alejado
Adjetivos de sentimientos y sensaciones
feliz
triste
solo
solitario
contento
tranquilo
enojado
calmo
agitado
ansioso
interesado
aburrido
encantado
cansado
sorprendido
asustado
doloroso
picante
apestoso
Adjetivos ordinales
primer
segundo
tercero
cuarto
quinto
décimo
centésimo
millonésimo
penúltimo
último
Adjetivos posesivos
mi
tu
su
nuestro
vuestro
Verbos
Auxiliares
ser
estar
haber
Existencia
aparecer
desaparecer
existir
cambiar
crecer
vivir
nacer
morir
Movimiento
ir
venir
volver
partir
llegar
llevar
traer
mover
arrojar
lanzar
coger
agarrar
poner
quitar
alcanzar
acercar
alejar
lanzar
arrojar
lanzar
coger
agarrar
sujetar
golpear
patear
poner
quitar
alcanzar
acercar
alejar
recoger
levantar
tomar
pegar
Sensaciones
sentir
ver
oír
tocar
oler
percibir
Emociones
amar
querer
desear
odiar
entristecerse
llorar
reír
enojarse
admirar
alegrarse
encantarse
consolar
interesarse
aburrirse
cansarse
sorprenderse
asustarse
Actividades
comunicarse
afirmar
negar
decir
hablar
callar
escribir
leer
analizar
pensar
cantar
señalar
apuñalar
morder
clavar
comer
beber
acordar
afectar
generar
añadir
mejorar
empeorar
seguir
avanzar
retroceder
ayudar
complicar
reunirse
entrevistar
abrir
jugar
tener
faltar
dar
recibir
romper
doblar
cortar
comprar
vender
llevar puesto
cambiar
intercambiar
sustituir
cerrar
buscar
encontrar
obtener
crear
creer
comenzar
terminar
abandonar
dejar
entrar
quedarse
salir
atender
medir
pesar
considerar
comparar
evaluar
decidir
construir
destruir
deber
poder
conocer
entender
atar
saber
trabajar
separar
descansar
dormir
despertar
aceptar
rechazar
descartar
acompañar
pedir
pretender
proponer
sugerir
usar
hacer
fabricar
arreglar
explicar
mostrar
tratar
evitar
probar
comprobar
variar
esperar
necesitar
significar
parecer
distinguir
